model_key,condition,benchmark,metric_name,score,n
qwen3.5-0.8b,layer_04_linear_off,mmlu,accuracy,0.44,50
qwen3.5-0.8b,layer_04_linear_off,arc_challenge,accuracy,0.46,50
qwen3.5-0.8b,layer_05_linear_off,mmlu,accuracy,0.28,50
qwen3.5-0.8b,layer_05_linear_off,arc_challenge,accuracy,0.42,50
qwen3.5-0.8b,layer_06_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_06_linear_off,arc_challenge,accuracy,0.4,50
qwen3.5-0.8b,layer_07_attention_off,mmlu,accuracy,0.22,50
qwen3.5-0.8b,layer_07_attention_off,arc_challenge,accuracy,0.48,50
qwen3.5-0.8b,layer_08_linear_off,mmlu,accuracy,0.48,50
qwen3.5-0.8b,layer_08_linear_off,arc_challenge,accuracy,0.5,50
qwen3.5-0.8b,layer_09_linear_off,mmlu,accuracy,0.36,50
qwen3.5-0.8b,layer_09_linear_off,arc_challenge,accuracy,0.5,50
qwen3.5-0.8b,layer_10_linear_off,mmlu,accuracy,0.44,50
qwen3.5-0.8b,layer_10_linear_off,arc_challenge,accuracy,0.46,50
qwen3.5-0.8b,layer_11_attention_off,mmlu,accuracy,0.24,50
qwen3.5-0.8b,layer_11_attention_off,arc_challenge,accuracy,0.56,50
qwen3.5-0.8b,layer_12_linear_off,mmlu,accuracy,0.48,50
qwen3.5-0.8b,layer_12_linear_off,arc_challenge,accuracy,0.52,50
qwen3.5-0.8b,layer_13_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_13_linear_off,arc_challenge,accuracy,0.42,50
qwen3.5-0.8b,layer_14_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_14_linear_off,arc_challenge,accuracy,0.6,50
qwen3.5-0.8b,layer_15_attention_off,mmlu,accuracy,0.22,50
qwen3.5-0.8b,layer_15_attention_off,arc_challenge,accuracy,0.14,50
qwen3.5-0.8b,layer_16_linear_off,mmlu,accuracy,0.42,50
qwen3.5-0.8b,layer_16_linear_off,arc_challenge,accuracy,0.58,50
qwen3.5-0.8b,layer_17_linear_off,mmlu,accuracy,0.42,50
qwen3.5-0.8b,layer_17_linear_off,arc_challenge,accuracy,0.58,50
qwen3.5-0.8b,layer_18_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_18_linear_off,arc_challenge,accuracy,0.58,50
qwen3.5-0.8b,layer_19_attention_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_19_attention_off,arc_challenge,accuracy,0.6,50
qwen3.5-0.8b,layer_20_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_20_linear_off,arc_challenge,accuracy,0.66,50
qwen3.5-0.8b,layer_21_linear_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_21_linear_off,arc_challenge,accuracy,0.56,50
qwen3.5-0.8b,layer_22_linear_off,mmlu,accuracy,0.36,50
qwen3.5-0.8b,layer_22_linear_off,arc_challenge,accuracy,0.58,50
qwen3.5-0.8b,layer_23_attention_off,mmlu,accuracy,0.38,50
qwen3.5-0.8b,layer_23_attention_off,arc_challenge,accuracy,0.54,50
qwen3.5-0.8b,progressive_linear_first_01,mmlu,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_first_01,hellaswag,accuracy,0.125,40
qwen3.5-0.8b,progressive_linear_last_01,mmlu,accuracy,0.4,40
qwen3.5-0.8b,progressive_linear_last_01,hellaswag,accuracy,0.55,40
qwen3.5-0.8b,progressive_linear_random_01,mmlu,accuracy,0.35,40
qwen3.5-0.8b,progressive_linear_random_01,hellaswag,accuracy,0.475,40
qwen3.5-0.8b,progressive_linear_first_02,mmlu,accuracy,0.25,40
qwen3.5-0.8b,progressive_linear_first_02,hellaswag,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_last_02,mmlu,accuracy,0.55,40
qwen3.5-0.8b,progressive_linear_last_02,hellaswag,accuracy,0.45,40
qwen3.5-0.8b,progressive_linear_random_02,mmlu,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_random_02,hellaswag,accuracy,0.425,40
qwen3.5-0.8b,progressive_linear_first_04,mmlu,accuracy,0.325,40
qwen3.5-0.8b,progressive_linear_first_04,hellaswag,accuracy,0.2,40
qwen3.5-0.8b,progressive_linear_last_04,mmlu,accuracy,0.625,40
qwen3.5-0.8b,progressive_linear_last_04,hellaswag,accuracy,0.5,40
qwen3.5-0.8b,progressive_linear_random_04,mmlu,accuracy,0.3,40
qwen3.5-0.8b,progressive_linear_random_04,hellaswag,accuracy,0.3,40
qwen3.5-0.8b,progressive_linear_first_06,mmlu,accuracy,0.3,40
qwen3.5-0.8b,progressive_linear_first_06,hellaswag,accuracy,0.275,40
qwen3.5-0.8b,progressive_linear_last_06,mmlu,accuracy,0.45,40
qwen3.5-0.8b,progressive_linear_last_06,hellaswag,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_random_06,mmlu,accuracy,0.25,40
qwen3.5-0.8b,progressive_linear_random_06,hellaswag,accuracy,0.3,40
qwen3.5-0.8b,progressive_linear_first_08,mmlu,accuracy,0.4,40
qwen3.5-0.8b,progressive_linear_first_08,hellaswag,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_last_08,mmlu,accuracy,0.325,40
qwen3.5-0.8b,progressive_linear_last_08,hellaswag,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_random_08,mmlu,accuracy,0.2,40
qwen3.5-0.8b,progressive_linear_random_08,hellaswag,accuracy,0.2,40
qwen3.5-0.8b,progressive_linear_first_12,mmlu,accuracy,0.35,40
qwen3.5-0.8b,progressive_linear_first_12,hellaswag,accuracy,0.25,40
qwen3.5-0.8b,progressive_linear_last_12,mmlu,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_last_12,hellaswag,accuracy,0.275,40
qwen3.5-0.8b,progressive_linear_random_12,mmlu,accuracy,0.275,40
qwen3.5-0.8b,progressive_linear_random_12,hellaswag,accuracy,0.175,40
qwen3.5-0.8b,progressive_linear_first_18,mmlu,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_first_18,hellaswag,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_last_18,mmlu,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_last_18,hellaswag,accuracy,0.225,40
qwen3.5-0.8b,progressive_linear_random_18,mmlu,accuracy,0.375,40
qwen3.5-0.8b,progressive_linear_random_18,hellaswag,accuracy,0.225,40
falcon-h1-0.5b,baseline,mmlu,accuracy,0.568,2000
falcon-h1-0.5b,baseline,gsm8k,exact_match,0.4,100
falcon-h1-0.5b,baseline,arc_challenge,accuracy,0.7357859531772575,299
falcon-h1-0.5b,baseline,hellaswag,accuracy,0.512,2000
falcon-h1-0.5b,baseline,truthfulqa_mc,accuracy,0.22278481012658227,790
falcon-h1-0.5b,all_ssm_off,mmlu,accuracy,0.2235,2000
falcon-h1-0.5b,all_ssm_off,gsm8k,exact_match,0.03,100
falcon-h1-0.5b,all_ssm_off,arc_challenge,accuracy,0.21070234113712374,299
falcon-h1-0.5b,all_ssm_off,hellaswag,accuracy,0.265,2000
falcon-h1-0.5b,all_ssm_off,truthfulqa_mc,accuracy,0.26329113924050634,790
falcon-h1-0.5b,all_attention_off,mmlu,accuracy,0.228,2000
falcon-h1-0.5b,all_attention_off,gsm8k,exact_match,0.0,50
falcon-h1-0.5b,all_attention_off,arc_challenge,accuracy,0.2140468227424749,299
falcon-h1-0.5b,all_attention_off,hellaswag,accuracy,0.369,2000
falcon-h1-0.5b,all_attention_off,truthfulqa_mc,accuracy,0.22658227848101264,790
falcon-h1-0.5b,random_control_ssm_trial0,mmlu,accuracy,0.2315,2000
falcon-h1-0.5b,random_control_ssm_trial0,gsm8k,exact_match,0.02,50
falcon-h1-0.5b,random_control_ssm_trial0,arc_challenge,accuracy,0.21739130434782608,299
falcon-h1-0.5b,random_control_ssm_trial0,hellaswag,accuracy,0.2565,2000
falcon-h1-0.5b,random_control_ssm_trial0,truthfulqa_mc,accuracy,0.2607594936708861,790
falcon-h1-0.5b,random_control_ssm_trial1,mmlu,accuracy,0.246,2000
falcon-h1-0.5b,random_control_ssm_trial1,gsm8k,exact_match,0.02,50
falcon-h1-0.5b,random_control_ssm_trial1,arc_challenge,accuracy,0.2909698996655518,299
falcon-h1-0.5b,random_control_ssm_trial1,hellaswag,accuracy,0.275,2000
falcon-h1-0.5b,random_control_ssm_trial1,truthfulqa_mc,accuracy,0.25063291139240507,790
falcon-h1-0.5b,random_control_ssm_trial2,mmlu,accuracy,0.219,2000
falcon-h1-0.5b,random_control_ssm_trial2,gsm8k,exact_match,0.0,50
falcon-h1-0.5b,random_control_ssm_trial2,arc_challenge,accuracy,0.2140468227424749,299
falcon-h1-0.5b,random_control_ssm_trial2,hellaswag,accuracy,0.2805,2000
falcon-h1-0.5b,random_control_ssm_trial2,truthfulqa_mc,accuracy,0.2620253164556962,790
falcon-h1-0.5b,attention_layer_00_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_00_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,attention_layer_01_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,attention_layer_01_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_02_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_02_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_03_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_03_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_04_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_04_off,arc_challenge,accuracy,0.68,50
falcon-h1-0.5b,attention_layer_05_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_05_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,attention_layer_06_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_06_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,attention_layer_07_off,mmlu,accuracy,0.48,50
falcon-h1-0.5b,attention_layer_07_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_08_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_08_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_09_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_09_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_10_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_10_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_11_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_11_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,attention_layer_12_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,attention_layer_12_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_13_off,mmlu,accuracy,0.36,50
falcon-h1-0.5b,attention_layer_13_off,arc_challenge,accuracy,0.68,50
falcon-h1-0.5b,attention_layer_14_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_14_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_15_off,mmlu,accuracy,0.4,50
falcon-h1-0.5b,attention_layer_15_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_16_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_16_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_17_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_17_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_18_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,attention_layer_18_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_19_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_19_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,attention_layer_20_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_20_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,attention_layer_21_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_21_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_22_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_22_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_23_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_23_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,attention_layer_24_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_24_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_25_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_25_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_26_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_26_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_27_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_27_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_28_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_28_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_29_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_29_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_30_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_30_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_31_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_31_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_32_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_32_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_33_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_33_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_34_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,attention_layer_34_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,attention_layer_35_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,attention_layer_35_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_00_off,mmlu,accuracy,0.38,50
falcon-h1-0.5b,ssm_layer_00_off,arc_challenge,accuracy,0.56,50
falcon-h1-0.5b,ssm_layer_01_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_01_off,arc_challenge,accuracy,0.68,50
falcon-h1-0.5b,ssm_layer_02_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_02_off,arc_challenge,accuracy,0.68,50
falcon-h1-0.5b,ssm_layer_03_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,ssm_layer_03_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,ssm_layer_04_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_04_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,ssm_layer_05_off,mmlu,accuracy,0.36,50
falcon-h1-0.5b,ssm_layer_05_off,arc_challenge,accuracy,0.78,50
falcon-h1-0.5b,ssm_layer_06_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_06_off,arc_challenge,accuracy,0.68,50
falcon-h1-0.5b,ssm_layer_07_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_07_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_08_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_08_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,ssm_layer_09_off,mmlu,accuracy,0.34,50
falcon-h1-0.5b,ssm_layer_09_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,ssm_layer_10_off,mmlu,accuracy,0.38,50
falcon-h1-0.5b,ssm_layer_10_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,ssm_layer_11_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,ssm_layer_11_off,arc_challenge,accuracy,0.78,50
falcon-h1-0.5b,ssm_layer_12_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_12_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,ssm_layer_13_off,mmlu,accuracy,0.48,50
falcon-h1-0.5b,ssm_layer_13_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,ssm_layer_14_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_14_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,ssm_layer_15_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_15_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,ssm_layer_16_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_16_off,arc_challenge,accuracy,0.7,50
falcon-h1-0.5b,ssm_layer_17_off,mmlu,accuracy,0.48,50
falcon-h1-0.5b,ssm_layer_17_off,arc_challenge,accuracy,0.76,50
falcon-h1-0.5b,ssm_layer_18_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_18_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_19_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_19_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_20_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,ssm_layer_20_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_21_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_21_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_22_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_22_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,ssm_layer_23_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_23_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_24_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_24_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_25_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_25_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_26_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_26_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_27_off,mmlu,accuracy,0.46,50
falcon-h1-0.5b,ssm_layer_27_off,arc_challenge,accuracy,0.72,50
falcon-h1-0.5b,ssm_layer_28_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_28_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_29_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_29_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_30_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_30_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_31_off,mmlu,accuracy,0.44,50
falcon-h1-0.5b,ssm_layer_31_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_32_off,mmlu,accuracy,0.42,50
falcon-h1-0.5b,ssm_layer_32_off,arc_challenge,accuracy,0.74,50
falcon-h1-0.5b,ssm_layer_33_off,mmlu,accuracy,0.44,50
